company_name	sector_domain	location 	customer	year_founded	team_members	stage	operating_status	brief_description 
Baamtu	Business Intelligence	Senegal	Businesses	2008	Unknown	Growth Stage	Y	Data has become a fully-fledged asset that is indispensable in the process of value creation and decision support. Once stored, cross-referenced and analysed, they constitute a wealth of information with high added value. With our experience in supporting large international groups and our team of experts, we support you throughout the data exploitation value chain, regardless of your objective.
Congretype	Agriculture	South Africa	Unknown	2009	Unknown	Growth Stage	Y	primarily focused on providing societal based solutions in renewable energy, ICT for development, and Climate-Smart Agriculture.
Syecomp	Agriculture	Ghana	Farmers/Agriculture Businesses	2009	Elorm Allavi	Early Stage	Y	It specialises in the acquisition, processing, analysis and synthesis of geospatial data from satellites and multispectral drone sensors for various applications using geographic information systems (GIS) and remote sensing (RS) technology
SocialLab	Advertising	South Africa	Marketing agencies	2010	Gilles Bindels and Yves Baudechon	Early Stage	Y	Social.Lab South Africa answers a need for businesses to bridge the Advertising, Direct Marketing, Digital, PR, Social Media and especially Media Agency divide. We bring these capabilities together – fittingly per client and brief – to develop integrated dynamic content strategies to grow brands, sales and customer value.
Ubenwa	Healthcare	Nigeria	Patients/Healthcare Facilities	2012	Charles C. Onu 	Early Stage	Y	Ubenwa analyses a baby’s cry to detect early signs of anomalies which could be fatal such as asphyxia or brain-injury.
Dataprophet	Manufacturing	South Africa	Logistic Companies/Warehouses/Manufacturers	2013	Frans Cronje (CEO), Michael Grant (CTO)	Mature	Y	Using AI to provide real-time guidance on process control changes to prevent scrap before it takes place.
Datascience Africa	Research	Africa	AI/ML practitioners	2013	Unknown	N/A	Y	aim to create a hub in the network of data science researchers across Africa
Geo Gecko	Agriculture	Uganda	Farmers/Agriculture Businesses	2013	Bernard Wright	Early Stage	Y	We quantify the change that is relevant to your work and provide you with the analysis you need to make an informed decision. We do this by tapping into satellites with almost daily global coverage, using powerful cloud computing tools and developing machine learning algorithms to extract the relevant data. 
Pulse Lab Kampala	Research	Uganda	AI/ML practitioners	2013	UN 	Early Stage	Y	addressing underinvestment in data science by training the next generation of analysts through annual workshops
Stridertech	Finance	South Africa	Financial institutions	2013	Annabel Dallamore	Early Stage	Y	developed a solution that uses an algorithm that pairs financial behaviour, spending and other data along with emotional cues and provides clients with assistance around financial matters such as payments, administration, rewards, education, analytics and tracking.
Zappi	E-Commerce/Retail	South Africa	E-commerce Businesses	2013	Steve Phillips	Early Stage	Y	Zappi is a cloud-based consumer insights platform for retailers. It collects multi-channel customer's data and provides actionable insights using machine learning algorithms.
Aerobatics	Agriculture	South Africa	Farmers/Agriculture Businesses	2014	James Paterson and Benji Meltzer	Mature	Y	developed a technology that can visually assess and analyze human exploration activities on earth.
Diagnosify	Healthcare	Ghana	Patients/Healthcare Facilities	2014	Anis Sahbani (CEO, Founder) Sebatien Dignoire (CTO)	Growth Stage	Y	AI-powered startup that uses artificial intelligence to diagnose skin diseases, predict the name of the disease, give its severity level, and assign patients to pharmaceutical services or dermatologists.
Enova Robotics	Surveillance	Tunisia	Businesses	2014	Dr. Anis Sahbani	Early Stage	Y	ENOVA ROBOTICS is a company specialized in mobile robot development and robotics R&D projects.
GovChat	Government	South Africa	Government	2014	Eldrid Jordaan	Early Stage	Y	GovChat is an AI-based citizen engagement platform
Gro Intelligence	Agriculture	Kenya	Farmers/Agriculture Businesses	2014	Sara Menker	Early Stage	Y	Gro brings the power of forecasting to your agriculture-related challenges. We organize vast amounts of global data into a common language, allowing you to quickly find the data you need and integrate your own data, build predictive models, derive meaningful insights, and ultimately make better informed agricultural decisions.
Migo	Finance	Nigeria	Financial institutions	2014	Ekechi Nwokah, Kunle Olukotun	Early Stage	Y	developed an AI system that gathers data on people, analyses it and uses that information to make lending decisions. It also works with banks to deploy this technology to help banks reduce their risks
Aajoh	Healthcare	Nigeria	Patients/Healthcare Facilities	2015	Similoluwa Adejumo CEO, Zuby Onwuta (CTO), Charles Ademola (UI/UX), 	Early Stage	U	allows individuals to input health symptoms via text, audio and photographs to obtain a diagnosis instantly using AI.
